,Restaurant name,Categories,TEL/reservation,Addresses,Transportation,Operating Hours,Shop holidays,Budget,Method of payment,Table money/charge,Awards
28,Katsu(克ッ 下北沢),"Yakitori (Grilled chicken), Izakaya (Tavern), Japanese food (other)",050-5868-3497      (+81-50-5868-3497)    (For reservation only)        03-3468-3334        (+81-3-3468-3334)      (For inquiry)予約可,2-chome-33-3 Kitazawa Setagaya City Tokyo-to                                     東京都                                              世田谷区                                                北沢                                              2-33-3                                          第一片柳ビル1F                    Show larger map,京王井の頭線下北沢駅より徒歩2分小田急小田原線下北沢駅より徒歩2分205 meters from Shimo Kitazawa.,＜営業時間＞15:00～23:00（フード・ドリンクL.O22:00）Open on sundays,無休,"Dinner:￥3,000～￥3,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Not AcceptedQR code payment Accepted                    (PayPay、d Barai、au PAY),300円,
29,koshitsuyakinikuitadaki(個室焼肉ITADAKI 町田),"Yakiniku (BBQ Beef), Izakaya (Tavern), Wine bar",050-3196-2184      (+81-50-3196-2184)    予約可,4-chome-1-9 Haramachida Machida Tokyo-to                                     東京都                                              町田市                                                原町田                                              4-1-9                                          永井ビル B1F                    Show larger map,ＪＲ横浜線 町田駅 ターミナル口 徒歩1分小田急小田原線 町田駅 徒歩6分225 meters from Machida.,ディナー：17:00～23:00（最終入店：22:00）コース　：21:00 (L.O）フード　：22:00(L.O）ドリンク：22:30 (L.O）Open on sundays,月曜日,"Dinner:￥6,000～￥7,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Accepted                    (Transportation electronic money(Suica)、iD、QUICPay)                QR code payment Not Accepted,サービス料10%、チャージ料なし　当店ではドリンクオーダー制とさせて頂いております。,
30,Senrikou(千里香),"Chinese, Izakaya (Tavern), Yakiniku (BBQ Beef)",050-5869-9220      (+81-50-5869-9220)    (For reservation only)        03-5338-6918        (+81-3-5338-6918)      (For inquiry)予約可,1-chome-17-10 Hyakunincho Shinjuku City Tokyo-to                                     東京都                                              新宿区                                                百人町                                              1-17-10                                          細野ビル　２Ｆ                    Show larger map,ＪＲ中央線 大久保駅 徒歩1分ＪＲ 新大久保駅 徒歩4分125 meters from Okubo.,店内の食事11:00～24:00（L.O.23:00）＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝ランチのネット予約を承りませんので、キャンセル処理とさせていただきます）Open on sundays,無休,"Dinner:￥4,000～￥4,999Lunch:～￥999",Credit Cards Accepted                  (JCB、AMEX、Diners、VISA)                Electronic money AcceptedQR code payment Accepted,なし,
31,Yakinikujonjon(焼肉じょんじょん 高円寺店),"Yakiniku (BBQ Beef), Horumon (BBQ Offel), Izakaya (Tavern)",050-5590-4625      (+81-50-5590-4625)    (For reservation only)        03-5356-9795        (+81-3-5356-9795)      (For inquiry)予約可混み合った場合2時間制となります。ご了承ください。,3-chome-17-2 Koenjikita Suginami City Tokyo-to                                     東京都                                              杉並区                                                高円寺北                                              3-17-2                                          オークヒル高円寺 1F                    Show larger map,JR中央・総武線　高円寺駅より徒歩3分。北口を出てすぐ左りに歩き、中通り商店街を入って真っすぐファミリーマートの向かい247 meters from Koenji.,[月～金]17:00～24:00(LO:23:30)[土・祝]12:00～24:00(LO:23:30)[日]12:00〜23:00(LO:22:30)年中無休Open on sundays,年中無休,"Dinner:￥4,000～￥4,999Lunch:￥2,000～￥2,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Accepted                    (Transportation electronic money(Suica)、Rakuten-Edy、nanaco、WAON、iD、QUICPay)                QR code payment Accepted                    (PayPay、Rakuten Pay、au PAY),サービス料なし。チャージ料なし,
32,Anko(庵狐 円山町店),"Izakaya (Tavern), Fowl, Soba",050-5457-4963      (+81-50-5457-4963)    (For reservation only)        03-5459-4083        (+81-3-5459-4083)      (For inquiry)予約可,25-4 Maruyamacho Shibuya City Tokyo-to                                     東京都                                              渋谷区                                                円山町                                              25-4                                          加藤ビル　１Ｆ                    Show larger map,京王井の頭線【神泉駅】徒歩２分東京メトロ半蔵門線、東急田園都市線【渋谷駅】徒歩９分ＪＲ山手線【渋谷駅】徒歩11分126 meters from Shinsen.,[月～金]11：30～14:30 (L.O.14:00)18：00～24:00[土]17：00～24:00[日・祝日]17：00～23:00※東京都の要請により、営業時間が変更となる場合がございます。お気軽に店舗までお問い合わせください。Open on sundays,6月は通常通り。7月より日曜日が定休日となります。月曜日が祭日の場合は、日曜日は営業（年末年始休みあり）,"Dinner:￥5,000～￥5,999Lunch:￥1,000～￥1,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX)                Electronic money Not AcceptedQR code payment Accepted                    (PayPay),お通し300円,
33,DIPPALACE HERITAGE Roppongi(ディップパレス ヘリテイジ 六本木店),"India cuisine, Thailand cooking, Indian curry",050-5594-2052      (+81-50-5594-2052)    (For reservation only)        03-5545-5415        (+81-3-5545-5415)      (For inquiry)予約可・Go to EATでのご予約はテイクアウトはご利用いただけません。,Roppongi Minato City Tokyo                                     東京都                                              港区                                                六本木                                              3-2-1                                          住友不動産六本木グランドタワー2F                    Show larger map,東京メトロ南北線「六本木一丁目駅」直結106 meters from Roppongi Itchome.,ランチ:11:00〜16:30ディナー:16:30〜23:00 (LO.22:30)Open on sundays,無休,"Dinner:￥2,000～￥2,999Lunch:～￥999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX)                Electronic money Not AcceptedQR code payment Accepted                    (PayPay),,
34,tabenomihoudaizenhyakusanjusshuruikanzenkoshitsuizakayakyouzono(食べ飲み放題全130種類 完全個室居酒屋 京園 新宿本店),"Izakaya (Tavern), Izakaya (other), Yakitori (Grilled chicken)",050-5869-0246      (+81-50-5869-0246)    (For reservation only)        080-9717-2704        (+81-80-9717-2704)      (For inquiry)予約可,1-chome-18-9 Kabukicho Shinjuku City Tokyo                                     東京都                                              新宿区                                                歌舞伎町                                              1-18-9                                          WaMall歌舞伎町 8F                    Show larger map,2名様～90名様まで様々な完全個室を完備♪★JR新宿駅東口徒歩2分/西武新宿駅徒歩2分220 meters from Seibu Shinjuku.,月～木、日、祝日: 11:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）金、土、祝前日: 11:00～翌5:00 （料理L.O. 翌4:00 ドリンクL.O. 翌4:30）Open on sundays,年中無休,"Dinner:￥3,000～￥3,999Lunch:～￥999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX)                Electronic money Not Accepted,お通し代：480円(単品のみ),
35,Barumaru(バルマル 赤坂見附店),"Spain, Bar, Wine bar",03-6426-5955      (+81-3-6426-5955)    予約可,3-chome-20-6 Akasaka Minato City Tokyo-to                                     東京都                                              港区                                                赤坂                                              3-20-6                    Show larger map,地下鉄丸ノ内線赤坂見附駅 徒歩2分 地下鉄半蔵門線永田町駅 徒歩5分 地下鉄千代田線赤坂駅 徒歩6分136 meters from Akasaka Mitsuke.,ディナー17:00～翌02:00土祝も深夜営業まで！,日曜日,"Dinner:￥2,000～￥2,999Lunch:～￥999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Not Accepted,,
36,yamashou(やましょう GEMS市ヶ谷店),"Motsu Nabe (Offel Hot Pot), Izakaya (Tavern), Tripe related dishes",03-6256-9892      (+81-3-6256-9892)    予約可,4-3 Rokubancho Chiyoda City Tokyo-to                                     東京都                                              千代田区                                                六番町                                              4-3                                          GEMS’市ヶ谷7F                     Show larger map,ＪＲ中央線 市ケ谷駅 3番出口 徒歩3分 地下鉄南北線 市ケ谷駅 3番出口 徒歩3分 都営新宿線 市ケ谷駅 3番出口 徒歩3分 地下鉄有楽町線 麹町駅 5番・6番出口 徒歩5分 325 meters from Ichigaya.,[テイクアウト]　平日16:00~20:00 土日祝15:00~20:00　[店内お食事]　　平日17:00~24:00 土日祝16:00~24:00,日曜日、月曜日,"Dinner:￥4,000～￥4,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money AcceptedQR code payment Accepted                    (PayPay、au PAY),お通し／チャージ　（一人440円）,
37,Shimbashikazu(しんばし 和寿),"Suppon (Soft-shelled Turtle), Izakaya (Tavern), Seafood",050-5594-4156      (+81-50-5594-4156)    (For reservation only)        03-3437-5535        (+81-3-3437-5535)      (For inquiry)予約可,3-chome-11-1 Shinbashi Minato City Tokyo-to                                     東京都                                              港区                                                新橋                                              3-11-1                                          イーグル烏森ビル ２F                    Show larger map,JR・都営・ゆりかもめ「新橋駅」南改札烏森口より徒歩3分都営三田線「内幸町駅」A1出口より徒歩4分都営大江戸線「汐留駅」より徒歩9分◇新橋駅前機関車の先頭付近の交差点を、駅を背にして左側に進み、最初の交差点を渡って右側に70mほど進んだ左側のビルの2階です◇221 meters from Shimbashi.,通常営業時間[月～金] 17:00～23:00(L.O.22:30)※土曜日は1週間前までにご予約頂けましたら営業致します。（※土曜日のご予約は5名様より承ります。）,土曜・日曜・祝日（土曜日はお休みですが、1週間前に5名様以上のご利用にてご予約頂けましたら営業致します。）,"Dinner:￥8,000～￥9,999",Credit Cards Accepted                  (JCB、AMEX、VISA、Master)                Electronic money Not Accepted,お通し料：600円/一名様,
